"id","description"
101,Old Republic followers within 6 squares get +3 Defense and gain Squad Assault.
102,Followers get +4 Attack.
103,Sith trooper allies gain Double Attack.
104,"At the end of this character's turn, 2 Medium allies within 6 squares of this character can switch position."
105,Each follower can use 2 abilities that can replace attacks instead of 1 on its turn.
106,Adjacent followers with a Force rating gain Bodyguard.
107,Mandalorian allies gain Charging Fire.
108,Mandalorian follower within 6 squares gain Twin Attack.
109,Mandalorian followers within 6 squares get +4 Attack.
110,Allied characters within 6 squares gain Force Renewal 1.
111,Allied character with Order 66 within 6 squares gain Greater Mobile Attack.
112,"Allied characters are treated as having the same name as each other, only for purposes of special abilities whose name contains Squad. Followers within 6 squares gain Squad Assault."
113,Followers with Order 66 within 6 squares get +4 Defense.
114,Allied characters with Order 66 gain Double Attack.
115,Allied character with Pilot gain Grenades 20 and Penetration 20.
116,"At the end of this character's turn, 1 Unique follower within 6 squares make an immediate attack with a +4 Attack bonus."
117,Droids are subject to this effect: Droid followers get +4 Attack and +4 Defense and gain Twin Attack.
118,Commandos in your squad gain Cunning Attack +20.
119,Allies gain Evade and Mobile Attack.
120,Allies in your squad within 6 squares gain Extra Attack.
121,Followers within 6 squares who combine fire grant an additional +4 Attack.
122,Followers whose names contain Sandtrooper gain Deadeye and Squad Assault.
123,Followers within 6 squares whose names contain Snowtrooper get +4 Attack and gain Squad Assault.
124,"Allies gain Opportunist. At the end of this character's turn, 2 allies within 6 squares of this character may switch position."
125,Followers with Mercenary within 6 squares gain Deadeye and Furious Assault.
126,Followers with Evade within 6 squares gain Greater Mobile Attack.
127,Each Black Sun ally within 6 squares gets +4 Attack and +10 Damage.
128,Allies within 6 squares gain Extra Attack.
129,"At the end of this character's turn, 2 allies within 6 squares of this character can switch positions."
130,Followers within 6 squares get +3 Attacl and +3 Defense.
131,Allied characters with a Force rating and with a printed Attack ration of 10 or less get +4 Attack.
132,Each ally with a Force rating gains Force Renewal 1.
133,Allies within 6 squares gain Lightsaber Duelist.
134,Each ally within 6 squares can reroll each failed save once.
135,Followers within 6 squares score critical hits on attack rolls of natural 19 or 20 and deal triple damage instead of double on a critical hit.
136,"If this character can see an enemy at the start of a phase, you can increase or decrease the number of characters you activate in that phase by 1 (minimum 1). This can include Droid and Savage characters."
137,Droids are subject to this effect: Droid followers within 6 squares gain Double Attack.
138,Droids are subject to this effect: Droid followers within 6 squares get +4 Attack and gain Extra Attack.
139,Droids are subject to this effect: Followers within 6 squares gain Twin Attack.
140,Followers without the Melee special ability gain Opportunist +10.
141,Followers whose names contain Senate gain Close-Quarters Fighting and Twin Attack.
142,Followers within 6 squares gain Rolling Cleave.
143,Followers with Order 66 within 6 squares gain Deadly Attack and Flurry Attack.
144,Allies with Order 66 that end their moves within 6 squares of this character can move 2 extra squares at the end of their turns.
145,Followers who end their move within 6 squares of this character gain Momentum.
146,Followers whose name contains Pirate gain Accurate Shot.
147,Each follower whose name contains Tusken Raider gets +4 Attack and gains Evade.
148,Followers whose name contains 501st get +10 Damage against enemies with Force ratings.
149,"Your squad may include Wookiee characters of any faction. Allied Wookiee characters gain Close-Quarters Fighting, Demolish, and Mighty Swing."
150,Allies with a Force rating within 6 squares get +4 Attack against enemies without a Force rating.
151,"Whenever a non-Unique follower within 6 squares is missed by an attack, it can immediately move 2 squares."
152,Non-Unique Fringe followers within 6 squares get +4 Attack and +10 Damage against non-Unique enemies.
153,Allies with a Force rating within 6 squares gain Mobile Attack.
154,"At the end of this character's turn, 1 follower within 6 squares can immediately move 2 squares."
155,Allies without a Force rating within 6 squares gain +4 Attack.
156,Each trooper follower within 6 squares can make 1 immediate attack when defeated.
157,Allies within 6 squares gain Mettle.
158,Unique allies within 6 squares gain Long Shot 10.
159,Non-Unique followers gain Squad Assault.
160,Non-Unique allies within 6 squares whose name contains 501st gain Cunning Attack.
161,Non-Unique followers gain Spotter +10.
162,"At the end of this character's turn, choose 1 non-Unique trooper follower within 2 squares. Until the end of the round, that follower gains Fire Support Mission."
163,Each follower gets +4 Attack and +4 Defense as long as it has an ally within 6 squares.
