"id","name","cost","description"
42,Force Push 5,5,"Force 5, replaces turn: range 6; 50 damage to target and to each character adjacent to that target, and push back target and each character adjacent to that target 5 squares if Huge or smaller. Huge or smaller characters are considered activated this round; save 16."
43,Force Renewal 1,0,This character gets 1 Force point each time it activates.
44,Force Renewal 2,0,This character gets 2 Force points each time it activates.
45,Force Renewal 3,0,This character gets 3 Force points each time it activates.
46,Force Repulse 2,2,"Force 2, replaces attacks: 20 damage to all characters within 2 squares; push back Huge or smaller characters to 3 squares from this character."
47,Force Repulse 3,3,"Force 3, replaces turn: 30 damage to all characters within 3 squares; push back Huge or smaller characters to 4 squares from this character. Huge or smaller characters are considered activated this round; save 11."
48,Force Repulse 5,5,"Force 5, replaces turn: 50 damage to all characters within 5 squares; push back Huge or smaller characters to 6 squares from this character. Huge or smaller characters are considered activated this round; save 16."
49,Force Sense,1,"Force 1, usable only on this character's turn: Enemy characters lose Stealth for the rest of the round."
50,Force Spirit 4,0,"If this character is defeated, immediately add 4 Force points to an ally with a Force rating; that ally can spend Force points 1 extra time per turn for the rest of the skirmish."
51,Force Spirit 6,0,"If this character is defeated, immediately add 6 Force points to an ally with a Force rating; that ally can spend Force points 1 extra time per turn for the rest of the skirmish."
52,Force Spirit 8,0,"If this character is defeated, immediately add 8 Force points to an ally with a Force rating; that ally can spend Force points 1 extra time per turn for the rest of the skirmish."
53,Force Storm 2,2,"Force 2, replaces attacks: 20 damage to all adjacent characters."
54,Force Strike,1,"Force 1, replaces attacks: range 6, 30 damage to 1 enemy Droid."
55,Force Stun,1,"Force 1, usable only on this character's turn: range 6; target living enemy is considered activated this round; save 11."
56,Force Thrust,1,"Force 1, replaces attacks: 6 squares; 20 damage; save 11 for 10 damage."
57,Force Valor,2,"Force 2, replaces attacks: For the rest of the skirmish, this character gains the following commander effect: Followers within 6 squares get +2 Attack and +2 Defense."
58,Force Weapon,1,"Force 1, replaces attacks: +10 Damage until the end of the skirmish."
59,Force Whirlwind,2,"Force 2, replaces attacks: range 6; 20 damage to target and each character adjacent to that target; save 11."
60,Illusion,1,"Force 1: When hit by an attack, this character takes no damage unless the attacker makes a save of 11."
61,Indiscriminate Rage,1,"Force 1: +2 Attack and +10 Damage until the end of this character's turn. At the end of that turn, make a save of 11. If the save fails, this character gains Savage."
62,Jedi Mind Trick,1,"Force 1, usable only on this character's turn: range 2; target living enemy is considered activated this round and cannot make attacks of opportunity this turn; save 11."
63,Knight Speed,1,Force 1: This character can move 4 extra squares on its turn as part of its move.
64,Levitation 1,1,"Force 1, replaces attacks: Move 1 Small or Medium ally within 6 squares to any unoccupied square within 6 squares. This move does not provoke attacks of opportunity."
65,Lightsaber Assault,1,"Force 1, replaces attacks: Make 2 attacks."
66,Lightsaber Block,1,"Force 1: When hit by a melee attack, this character takes no damage with a save of 11."
67,Lightsaber Defense,1,"Force 1: When hit by an attack, this character takes no damage with a save of 11."
68,Lightsaber Deflect,1,"Force 1: When hit by a nonmelee attack, this character takes no damage with a save of 11."
69,Lightsaber Precision,1,Force 1: This character gets +10 Damage on its next attack.
70,Lightsaber Reflect (10 dmg),2,"Force 2: When hit by a nonmelee attack, this character takes no damage with a save of 11 and the attacker takes 10 damage, save 11."
71,Lightsaber Reflect (all dmg),2,"Force 2: When hit by a nonmelee attack, this character takes no damage with a save of 11 and the attacker takes damage equal to the prevented damage; save 11."
72,Lightsaber Riposte,1,"Force 1: When hit by a melee attack, this character can make an immediate attack against that attacker."
73,Lightsaber Sweep,1,"Force 1, replaces attacks: Can attack each adjacent enemy once."
74,Lightsaber Throw,1,"Force 1, replaces attacks: Attack 1 enemy within 6 squares."
75,Lightsaber Throw 2,2,"Force 2, replaces attacks: Choose 1 target enemy within range 6. Make 2 attacks against that target."
76,Lightsaber Throw 3,3,"Force 3, replaces turn: Choose 1 enemy within line of sight, ignoring cover. Make an attack against the chosen enemy and against each character adjacent to that enemy."
77,Lightsaber Throw 5,5,"Force 5, replaces turn: Choose 1 enemy within line of sight, ignoring cover. Make 2 attacks against the chosen enemy and against each character adjacent to that enemy."
78,Master of the Force 2,0,May spend Force points up to 2 times in a single turn.
79,Master of the Force 3,0,May spend Force points up to 3 times in a single turn.
80,Master Speed,1,Force 1: This character can move 6 extra squares on its turn as part of its move.
81,Overwhelming Force,1,Force 1: This character's attacks cannot be prevented or redirected this turn.
82,Pawn of the Dark Side,1,"Force 1, replaces attacks: sight; 1 non-Unique ally takes an immediate turn, which does not count as one of your 2 activations this phase; at the end of that turn, it takes 10 damage."
83,Recovery 20,1,"Force 1, replaces turn: Remove 20 damage from this character."
84,Sever Force,3,Force 3: replaces turn; Target adjacent character cannot spend Force points for the rest of the skirmish.
85,Shatterpoint,1,"Force 1, replaces turn: range 6; choose 1 target enemy. For the rest of the skirmish, this character's first attack each round against that enemy is a natural 20."
86,Shockwave,2,"Force 2, replaces attacks: All characters within 6 squares are considered activated this round; save 11."
87,Sith Grip,2,"Force 2, replaces attacks: sight; 20 damage."
88,Sith Hatred,1,"Force 1, usable only on this character's turn: 10 damage to all enemies within 2 squares."
89,Sith Hunger,1,"Force 1, replaces attacks: range 6; 20 damage to target living enemy, and remove 20 damage from this character. If the target has Force points remaining, transfer 1 Force point from the target to this character."
90,Sith Lightning 30,2,"Force 2, replaces attacks: range 6; 30 damage."
91,Sith Rage,1,Force 1: +10 Damage on all attacks this turn.
92,Sith Sorcery,2,"Force 2, usable only on this character's turn: Enemy characters within 6 squares are considered activated this round; save 11."
93,Surprise Move,2,"Force 1; Once per round, after initiative is determined, this character can immediately move up to its Speed before any other character activates."
94,Transfer Essence,1,"Force 1, usable only on this character's turn: Choose 1 living ally. Remove that ally from play and place this character in that ally's space; that ally is defeated."
95,Unleash the Force 60,4,"Force 4, replaces attacks, usable only after an ally with a Force rating is defeated: 60 damage to all other characters within 6 squares; save 11 to reduce damage to 30."
96,Use the Force,3,Force 3: This character's next attack roll counts as a natural 20.
97,Whirlwind Attack,1,"Force 1, replaces turn: Attack each adjacent enemy twice."
